campaign_id,geo,vertical,traffic_source,device,os,bid,daily_budget,impressions,clicks,conversions,spend,revenue,created_at
camp_04328,IN,gambling,inapp,tablet,ios,0.114,30,178983,9245,69,757.78,597.91,2024-01-03 18:00:00
camp_00621,ID,finance,inapp,mobile,ios,0.087,20,128396,4546,223,486.98,2414.0,2024-01-03 18:00:00
camp_03599,MX,gambling,facebook,mobile,ios,0.256,20,92311,2625,82,698.77,2805.25,2024-01-03 19:00:00
camp_03082,US,sweepstakes,google,desktop,macos,0.601,200,307873,13727,470,10321.03,4662.61,2024-01-03 21:00:00
camp_07816,PH,nutra,push,tablet,ios,1.088,500,350353,10437,375,11629.07,1987.69,2024-01-04 03:00:00
camp_02957,PL,crypto,native,mobile,android,0.39,100,393138,9004,247,3263.82,14730.13,2024-01-04 04:00:00
camp_07074,US,nutra,facebook,mobile,android,0.247,30,352579,8109,239,1408.01,8011.65,2024-01-04 05:00:00
camp_00229,DE,ecommerce,inapp,mobile,ios,0.109,200,1993497,41287,4428,3500.61,90238.77,2024-01-04 05:00:00
camp_01766,DE,dating,tiktok,desktop,macos,0.413,50,124430,3677,344,1879.36,10155.27,2024-01-04 06:00:00
camp_01663,JP,gambling,tiktok,tablet,android,0.398,20,30568,397,18,133.22,2246.49,2024-01-04 06:00:00
camp_04496,PH,sweepstakes,native,mobile,ios,0.101,50,430834,13903,311,1684.47,1092.82,2024-01-04 07:00:00
camp_06235,FR,ecommerce,tiktok,mobile,android,0.505,200,291405,7904,280,5176.62,6015.41,2024-01-04 08:00:00
camp_05663,US,sweepstakes,google,mobile,android,0.187,30,53612,2285,61,399.97,322.86,2024-01-04 08:00:00
camp_01528,JP,finance,inapp,mobile,android,0.166,50,293686,9963,362,1768.27,18721.26,2024-01-04 09:00:00
camp_00489,PL,gambling,inapp,mobile,android,0.661,100,137309,7788,388,3727.28,32204.23,2024-01-04 09:00:00
camp_03114,TR,dating,native,desktop,windows,0.39,50,183889,11404,408,4465.33,3688.86,2024-01-04 10:00:00
camp_03742,DE,dating,push,mobile,android,0.099,10,88242,6939,525,566.83,8887.69,2024-01-04 10:00:00
camp_03978,IT,dating,inapp,mobile,ios,0.508,20,28202,1221,61,692.78,1317.55,2024-01-04 10:00:00
camp_02425,PL,dating,tiktok,mobile,ios,0.406,50,132252,2372,52,918.15,833.04,2024-01-04 11:00:00
camp_07426,JP,ecommerce,tiktok,mobile,ios,0.349,50,183578,5089,463,1917.72,10587.22,2024-01-04 12:00:00
camp_05730,US,nutra,push,mobile,ios,0.188,30,111330,8741,1678,1927.79,142710.16,2024-01-04 13:00:00
camp_02630,TH,finance,facebook,desktop,macos,0.49,100,173933,8841,160,4055.76,3459.43,2024-01-04 15:00:00
camp_01632,BR,ecommerce,google,desktop,macos,0.063,30,658583,29655,2076,2026.76,20995.41,2024-01-04 17:00:00
camp_00304,IT,sweepstakes,push,mobile,android,0.492,10,31227,1328,19,536.59,151.93,2024-01-04 17:00:00
camp_02989,IT,gambling,facebook,mobile,android,0.174,200,894911,44346,1290,5407.94,76148.53,2024-01-04 18:00:00
camp_00210,IN,ecommerce,google,mobile,android,0.261,50,224679,9451,430,2430.52,1895.1,2024-01-04 18:00:00
camp_01675,US,ecommerce,push,desktop,macos,1.499,200,115832,5444,714,8146.53,12991.58,2024-01-04 18:00:00
camp_00687,US,sweepstakes,google,mobile,ios,0.108,50,718106,20223,260,2713.09,2373.01,2024-01-04 19:00:00
camp_02383,DE,gambling,google,desktop,windows,0.056,20,324404,6329,124,352.08,7143.84,2024-01-05 01:00:00
camp_05742,US,nutra,google,desktop,windows,0.797,20,19699,1062,60,659.13,3354.61,2024-01-05 04:00:00
camp_06801,DE,sweepstakes,facebook,mobile,ios,0.213,20,110985,2618,188,635.46,936.08,2024-01-05 05:00:00
camp_06017,IT,ecommerce,tiktok,desktop,macos,0.042,30,516111,8588,314,454.4,5419.33,2024-01-05 07:00:00
camp_04409,IN,nutra,google,mobile,android,0.401,30,60390,1734,58,748.52,577.04,2024-01-05 07:00:00
camp_06431,US,gambling,facebook,mobile,ios,0.163,50,198220,5730,211,1095.01,12138.1,2024-01-05 08:00:00
camp_05732,DE,finance,google,tablet,ios,0.19,30,784931,26935,1897,5602.42,49360.69,2024-01-05 08:00:00
camp_07095,ID,crypto,tiktok,desktop,windows,0.701,20,91867,1614,22,1322.58,592.77,2024-01-05 08:00:00
camp_05875,TH,gambling,facebook,mobile,ios,0.821,100,55917,1603,42,1530.02,1347.45,2024-01-05 08:00:00
camp_02975,PH,nutra,facebook,mobile,android,0.071,200,1791036,51718,1447,4164.12,8451.65,2024-01-05 09:00:00
camp_01276,PL,crypto,tiktok,mobile,ios,0.297,50,135972,2338,48,549.73,6343.25,2024-01-05 10:00:00
camp_03195,PH,sweepstakes,facebook,mobile,android,0.11,20,98606,6372,103,631.87,858.93,2024-01-05 10:00:00
camp_01826,DE,ecommerce,native,desktop,macos,0.114,10,127199,3902,152,394.05,2853.08,2024-01-05 10:00:00
camp_02791,US,gambling,native,desktop,macos,0.134,30,127804,5389,106,774.82,2976.27,2024-01-05 11:00:00
camp_01063,PL,nutra,push,desktop,macos,0.709,30,22877,2316,82,1775.54,1408.21,2024-01-05 11:00:00
camp_01379,JP,gambling,push,mobile,ios,0.618,10,64305,4069,157,2968.88,5443.91,2024-01-05 11:00:00
camp_00379,IN,nutra,facebook,mobile,ios,0.117,200,3715444,146353,5262,14562.2,79201.93,2024-01-05 11:00:00
camp_02887,DE,crypto,push,mobile,android,0.134,50,340615,22130,345,3250.77,12126.3,2024-01-05 12:00:00
camp_00840,DE,finance,native,tablet,ios,0.289,20,101927,2263,87,545.78,3432.03,2024-01-05 12:00:00
camp_03053,IN,finance,google,mobile,android,0.174,30,206539,10962,301,1354.11,595.41,2024-01-05 12:00:00
camp_06345,TR,crypto,google,desktop,macos,0.107,30,198634,13012,297,1458.33,7117.53,2024-01-05 13:00:00
camp_05793,ID,gambling,facebook,mobile,android,0.438,200,257681,10192,157,5121.33,2363.65,2024-01-05 13:00:00
camp_05869,GB,gambling,facebook,desktop,macos,0.519,50,159771,11284,446,6124.25,21398.88,2024-01-05 13:00:00
camp_03715,US,sweepstakes,google,mobile,ios,0.065,30,592388,30234,1299,2159.52,15425.73,2024-01-05 14:00:00
camp_03045,ID,sweepstakes,push,desktop,windows,0.096,30,175901,20193,231,1956.65,394.31,2024-01-05 14:00:00
camp_01520,US,ecommerce,google,desktop,macos,0.422,30,119486,5479,521,1965.06,18136.04,2024-01-05 14:00:00
camp_05412,TR,gambling,push,mobile,ios,0.152,10,34441,1996,20,268.54,186.21,2024-01-05 15:00:00
camp_04750,MX,gambling,facebook,mobile,android,0.184,100,408874,11536,165,1841.66,4508.87,2024-01-05 15:00:00
camp_00493,JP,ecommerce,google,desktop,macos,0.591,30,61577,4810,225,2341.81,3451.21,2024-01-05 15:00:00
camp_06426,DE,dating,push,mobile,ios,0.119,500,2516473,81174,2495,6891.26,21289.11,2024-01-05 16:00:00
camp_00059,PL,gambling,native,desktop,macos,0.411,10,58889,3204,60,1013.56,1157.59,2024-01-05 16:00:00
camp_05428,TH,gambling,inapp,mobile,ios,0.109,50,155317,3814,111,474.71,4784.53,2024-01-05 17:00:00
camp_03300,US,nutra,native,desktop,macos,0.144,10,63134,2089,139,260.81,2426.28,2024-01-05 17:00:00
camp_06718,TR,nutra,push,tablet,ios,0.459,200,224619,8645,313,2967.56,2848.28,2024-01-05 17:00:00
camp_06344,JP,gambling,push,mobile,android,0.18,30,115999,10788,548,2251.67,33998.37,2024-01-05 17:00:00
camp_03377,MX,ecommerce,inapp,desktop,windows,0.179,20,114180,8413,212,1865.77,1384.9,2024-01-05 17:00:00
camp_06800,TR,finance,google,mobile,ios,0.192,200,2658185,146765,9862,32302.79,272046.99,2024-01-05 17:00:00
camp_04537,FR,dating,facebook,mobile,android,0.097,50,334100,7661,293,620.3,2384.74,2024-01-05 17:00:00
camp_01587,IN,nutra,facebook,desktop,macos,0.199,10,36927,1084,33,226.46,239.04,2024-01-05 17:00:00
camp_02804,FR,nutra,google,mobile,android,0.166,200,1902216,139522,8965,29227.26,1747407.19,2024-01-05 18:00:00
camp_05637,IT,nutra,push,desktop,windows,0.304,20,59879,1550,94,338.1,2307.68,2024-01-05 19:00:00
camp_04257,DE,gambling,google,desktop,windows,0.445,30,95037,3711,146,1961.71,16256.29,2024-01-05 19:00:00
camp_03857,TR,gambling,tiktok,mobile,android,0.193,200,1341453,19771,466,4222.48,16122.56,2024-01-05 19:00:00
camp_05280,IN,dating,tiktok,mobile,android,0.292,50,178467,2750,115,806.15,260.46,2024-01-05 20:00:00
camp_07003,BR,gambling,google,mobile,android,0.154,20,76958,1623,53,285.0,4944.06,2024-01-05 21:00:00
camp_06275,DE,dating,inapp,desktop,macos,0.344,30,59790,2158,121,659.65,1317.98,2024-01-05 22:00:00
camp_01872,MX,finance,inapp,mobile,android,0.138,30,294479,4325,179,569.73,1759.26,2024-01-06 00:00:00
camp_00857,ID,ecommerce,push,desktop,macos,0.053,100,1654578,35721,1811,2405.13,11374.54,2024-01-06 01:00:00
camp_07148,US,dating,push,desktop,windows,0.464,500,1096514,28874,1381,12727.28,27374.61,2024-01-06 01:00:00
camp_03392,FR,sweepstakes,facebook,mobile,ios,0.468,30,70259,2331,137,1297.94,1003.48,2024-01-06 05:00:00
camp_07122,US,finance,google,desktop,windows,0.339,100,520229,26134,1323,10046.28,75353.48,2024-01-06 07:00:00
camp_04493,GB,nutra,tiktok,mobile,android,0.42,30,72817,2922,164,1553.23,4019.86,2024-01-06 07:00:00
camp_05452,PL,finance,facebook,mobile,android,0.743,200,260650,8505,234,4828.93,9623.09,2024-01-06 07:00:00
camp_05966,PL,sweepstakes,inapp,desktop,windows,0.185,500,3108364,138495,5438,25110.0,50288.67,2024-01-06 07:00:00
camp_06340,TR,gambling,tiktok,mobile,ios,0.212,50,252921,5929,109,1005.3,767.34,2024-01-06 08:00:00
camp_01052,IN,nutra,google,mobile,android,0.284,30,102518,3577,116,750.5,891.53,2024-01-06 09:00:00
camp_01348,BR,ecommerce,google,mobile,android,0.401,50,221548,9653,442,3454.73,4182.99,2024-01-06 10:00:00
camp_01708,PH,finance,push,desktop,windows,0.118,50,476380,15559,311,2193.45,2736.06,2024-01-06 10:00:00
camp_00651,US,ecommerce,google,mobile,ios,0.164,20,142216,7015,695,1285.23,31972.16,2024-01-06 10:00:00
camp_02485,PL,gambling,tiktok,desktop,windows,0.189,50,335650,10988,408,1685.64,14717.04,2024-01-06 11:00:00
camp_02689,BR,finance,facebook,desktop,windows,0.102,50,422701,18607,534,1343.0,13492.88,2024-01-06 11:00:00
camp_07546,TR,finance,facebook,desktop,macos,0.094,50,253776,17180,508,1929.88,7866.95,2024-01-06 11:00:00
camp_03353,PL,finance,native,mobile,android,0.171,100,306262,14078,844,3115.11,34879.9,2024-01-06 12:00:00
camp_06371,FR,crypto,facebook,mobile,android,0.563,500,1515932,48210,1561,20635.6,88336.36,2024-01-06 12:00:00
