ad_id,ad_text,vertical,geo,impressions,clicks,conversions,ctr,cr,has_number,has_urgency,has_social_proof,emotion,cta_strength,length_category,key_benefit,ad_idx
ad_0082,Эффективное средство для похудения. Скидка 70% на первый заказ,nutra,DE,111529,6689,27,0.05998,0.00407,True,False,False,greed,3,short,эффективное похудение со скидкой,82
ad_0083,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,GB,67059,2223,7,0.03316,0.00351,False,True,False,excitement,3,short,достижение стройности,83
ad_0084,Добро пожаловать в мир азарта. Играйте и выигрывайте призы,gambling,GB,113080,1861,1,0.01646,0.00105,False,False,False,excitement,4,short,выигрыш призов,84
ad_0085,Играйте в казино онлайн. Множество слотов и настольных игр,gambling,GB,92080,1704,1,0.01851,0.00116,False,False,False,excitement,3,short,Множество слотов и настольных игр,85
ad_0086,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 150%€. Присоединяйся!",betting,BR,105281,3542,13,0.03365,0.00373,True,False,True,excitement,4,short,Фрибет 150%€,86
ad_0087,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 150% бонус + 150 фриспинов. Осталось 24ч,gambling,PH,85003,3235,12,0.03806,0.0039,True,True,False,excitement,4,short,150% бонус + 150 фриспинов,87
ad_0088,🎰 50€ бонус на первый депозит! Только 5 дней. Играй и выигрывай!,gambling,BR,109455,6564,48,0.05997,0.00742,True,True,False,excitement,4,short,50€ бонус на первый депозит,88
ad_0089,Букмекер онлайн. Множество событий для ставок каждый день,betting,IN,23198,173,0,0.00746,0.00169,False,False,False,neutral,1,short,множество событий для ставок,89
ad_0090,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,TR,138537,1943,2,0.01403,0.00108,False,False,False,neutral,2,short,онлайн ставки на спорт,90
ad_0091,Ставки на Champions League и другие лиги. Бонус 100%€ для новых клиентов,betting,MX,73475,1490,3,0.02029,0.00234,True,False,False,greed,3,short,бонус 100% для новых клиентов,91
ad_0092,"Выиграй до 10,000€ с бонусом 100%! Начни с 20€ депозита",gambling,IT,118918,4076,13,0.03428,0.0034,True,False,False,greed,4,short,"100% bonus up to 10,000€",92
ad_0093,"Букмекер с лицензией. 1,000+ видов спорта. Фрибет до 100€€",betting,TR,35315,775,1,0.02195,0.00215,True,False,False,greed,2,short,Лицензированный букмекер с большим выбором спорта и бонусом,93
ad_0094,Ставки на спорт с коэфами до 50x. 200%€ фрибет — только 3 дней!,betting,IT,5443,194,0,0.0357,0.00227,True,True,False,greed,4,short,высокие коэффициенты и бонус фрибет,94
ad_0095,Средство для похудения. Натуральные компоненты. Закажите,nutra,MX,193594,2967,3,0.01533,0.00119,False,False,False,neutral,2,short,похудение,95
ad_0096,Эффективное средство для похудения. Скидка 60% на первый заказ,nutra,BR,23343,774,1,0.03316,0.00137,True,False,False,greed,3,short,похудение со скидкой,96
ad_0097,Снижение веса естественным путём. Закажи BurnPro сегодня,nutra,TR,178903,4338,7,0.02425,0.00163,False,True,False,excitement,4,short,снижение веса естественным путём,97
ad_0098,"Играй в лучшие слоты. Бонус 200%, вейджер x45. Регистрируйся",gambling,IN,90506,1251,1,0.01383,0.00116,True,False,True,greed,4,short,бонус 200%,98
ad_0099,"Спортивные ставки онлайн. Бонус 150%€, вывод за 24 часа",betting,IN,55289,829,0,0.015,0.00106,True,True,False,greed,3,short,бонус 150% и быстрый вывод,99
ad_0100,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,ID,50620,617,0,0.01219,0.00144,False,False,False,neutral,2,short,онлайн ставки на спорт,100
ad_0101,"Похудей на 15кг без спорта и диет! 5,000+ довольных клиентов. Закажи сейчас",nutra,IT,5106,449,3,0.08798,0.00724,True,True,True,excitement,4,short,Похудение на 15кг без усилий,101
ad_0102,Ставки на спорт с коэфами до 50x. 500€€ фрибет — только 7 дней!,betting,IN,120811,2266,3,0.01876,0.00142,True,True,False,greed,4,short,высокие коэффициенты и бесплатная ставка,102
ad_0103,"Спортивные ставки онлайн. Бонус 500€€, вывод за 24 часа",betting,BR,197927,4437,11,0.02242,0.00262,True,True,False,greed,3,short,Бонус 500€ и быстрый вывод средств,103
ad_0104,"Выиграй до 100,000€ с бонусом 100€! Начни с 5€ депозита",gambling,DE,66569,3293,41,0.04948,0.01257,True,False,False,greed,4,short,Возможность выиграть крупную сумму с минимальным депозитом,104
ad_0105,Известный блогер раскрыл секрет: минус 8кг за 5 дней. Попробуй бесплатно!,nutra,IN,17114,515,1,0.03015,0.00254,True,True,True,excitement,4,short,быстрое похудение,105
ad_0106,Надёжное казино с быстрыми выплатами. До 200€ бонус на депозит,gambling,PH,24091,665,1,0.02763,0.00269,True,False,False,greed,3,short,быстрые выплаты и бонус на депозит,106
ad_0107,Ставки на спорт. Бонусы и акции для клиентов,betting,ID,170089,1471,1,0.00865,0.00109,False,False,False,greed,2,short,Бонусы и акции,107
ad_0108,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,BR,187545,2614,2,0.01394,0.00078,False,False,False,neutral,2,short,эффективное похудение,108
ad_0109,"Букмекер с лицензией. 50,000+ видов спорта. Фрибет до 150%€",betting,PH,176981,2619,3,0.0148,0.00152,True,False,False,greed,2,short,Фрибет до 150%,109
ad_0110,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,US,32941,1650,2,0.05009,0.00172,False,True,False,excitement,3,short,достижение стройности,110
ad_0111,"1,000+ событий каждый день. Фрибет 200€€ при регистрации. Успей забрать!",betting,BR,126778,5573,15,0.04396,0.00271,True,True,False,greed,4,short,Фрибет 200€€ при регистрации,111
ad_0112,⚡ ГОРЯЩЕЕ ПРЕДЛОЖЕНИЕ: 200€ бонус + 50 фриспинов. Осталось 48ч,gambling,MX,39954,1576,6,0.03945,0.00438,True,True,False,excitement,4,short,200€ бонус + 50 фриспинов,112
ad_0113,"Спортивные ставки онлайн. Бонус 100€€, вывод за 24 часа",betting,MX,88177,1655,2,0.01878,0.00136,True,True,False,greed,3,short,Бонус 100€ и быстрый вывод средств,113
ad_0114,Букмекер онлайн. Множество событий для ставок каждый день,betting,IT,193553,2150,2,0.01111,0.00136,False,False,False,neutral,2,short,Множество событий для ставок каждый день,114
ad_0115,Натуральное средство для стройности. Простой заказ онлайн,nutra,ID,148621,1425,0,0.00959,0.00061,False,False,False,neutral,2,short,натуральное средство для стройности,115
ad_0116,Делайте ставки на спортивные события. Широкая линия,betting,GB,129433,2595,4,0.02005,0.00165,False,False,False,excitement,3,short,Широкая линия ставок на спорт,116
ad_0117,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,IN,69812,1408,3,0.02017,0.00244,False,True,False,excitement,4,short,Простая регистрация и доступность для всех,117
ad_0118,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,141655,995,0,0.00703,0.00045,False,False,False,neutral,3,short,снижение веса,118
ad_0119,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 500€€. Присоединяйся!",betting,BR,192051,5582,20,0.02907,0.00375,True,False,True,excitement,4,short,Фрибет 500€€,119
ad_0120,"🏆 100,000 тысяч игроков выбрали нас. Фрибет 200%€. Присоединяйся!",betting,BR,146597,4125,11,0.02814,0.00272,True,False,True,excitement,3,short,Фрибет 200%,120
ad_0121,"5,000+ игроков уже выиграли сегодня. Твоя очередь! Бонус 150%",gambling,GB,186914,17177,163,0.0919,0.00953,True,True,True,excitement,4,short,бонус 150% и возможность выиграть,121
ad_0122,Получи 500€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,BR,111849,4309,12,0.03853,0.00279,True,True,False,excitement,5,short,500€ фриспинов,122
ad_0123,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,MX,113992,2152,3,0.01888,0.00155,False,False,False,excitement,4,short,высокие коэффициенты и быстрые выплаты,123
ad_0124,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,BR,115138,2997,7,0.02603,0.00235,False,True,False,excitement,4,short,лучшее онлайн казино,124
ad_0125,Делайте ставки на спортивные события. Широкая линия,betting,IT,10120,117,0,0.01157,0.00152,False,False,False,neutral,3,short,широкий выбор спортивных событий,125
ad_0126,"BurnPro — проверенное средство. 10,000+ положительных отзывов",nutra,ID,83279,3864,14,0.04641,0.0038,True,False,True,neutral,1,short,проверенное средство с положительными отзывами,126
ad_0127,"Спортивные ставки онлайн. Бонус 50€€, вывод за 24 часа",betting,ID,197579,2165,2,0.01096,0.00095,True,True,False,greed,3,short,Бонус 50€€ и быстрый вывод средств,127
ad_0128,Начните путь к стройности сегодня. Наш продукт поможет вам,nutra,IT,62812,1862,2,0.02965,0.00144,False,True,False,excitement,4,short,путь к стройности,128
ad_0129,"🏆 5,000 тысяч игроков выбрали нас. Фрибет 500€€. Присоединяйся!",betting,BR,12608,483,2,0.03833,0.00484,True,False,True,excitement,3,short,Фрибет 500€€,129
ad_0130,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,TR,183032,1742,1,0.00952,0.00094,False,False,False,neutral,2,short,ставки на спорт онлайн,130
ad_0131,Букмекер онлайн. Множество событий для ставок каждый день,betting,GB,127523,942,0,0.00739,0.00054,False,False,False,excitement,2,short,множество событий для ставок каждый день,131
ad_0132,"Играй в лучшие слоты. Бонус 100%, вейджер x45. Регистрируйся",gambling,IT,160161,4322,6,0.02699,0.00148,True,False,True,greed,4,short,бонус 100%,132
ad_0133,Врачи в шоке: этот метод убирает 12кг без диет. Успей со скидкой 40%!,nutra,US,126031,15920,78,0.12632,0.00494,True,True,True,excitement,4,short,похудение без диет,133
ad_0134,"Выиграй до 100,000€ с бонусом 500€! Начни с 5€ депозита",gambling,US,124196,5243,18,0.04222,0.00351,True,False,False,greed,4,short,крупный выигрыш с минимальным депозитом,134
ad_0135,Спортивные ставки для всех. Простая регистрация. Начните сегодня,betting,TR,104385,2060,2,0.01974,0.00128,False,True,False,excitement,4,short,Простая регистрация и доступность для всех,135
ad_0136,"🏆 10,000 тысяч игроков выбрали нас. Фрибет 200€€. Присоединяйся!",betting,ID,128288,4782,17,0.03728,0.00374,True,False,True,excitement,4,short,Фрибет 200€€,136
ad_0137,🎰 200% бонус на первый депозит! Только 5 дней. Играй и выигрывай!,gambling,MX,175431,7690,30,0.04384,0.00403,True,True,False,greed,4,short,200% бонус на первый депозит,137
ad_0138,Казино с бонусами. Регистрация бесплатна. Начните играть,gambling,US,13134,305,0,0.02323,0.00155,False,False,False,excitement,4,short,бонусы и бесплатная регистрация,138
ad_0139,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,BR,10342,176,0,0.01703,0.00121,False,True,False,excitement,4,short,лучшее онлайн казино,139
ad_0140,Фитнес-тренер раскрыл секрет: минус 12кг за 5 дней. Попробуй бесплатно!,nutra,GB,34986,1960,8,0.05603,0.0041,True,True,True,excitement,4,short,быстрое похудение,140
ad_0141,"BurnPro — проверенное средство. 100,000+ положительных отзывов",nutra,BR,48984,2446,5,0.04995,0.00207,True,False,True,neutral,1,short,проверенное средство с положительными отзывами,141
ad_0142,Худейте эффективно с нашим продуктом. Доставка по всей стране,nutra,IT,193313,6967,8,0.03604,0.0012,False,False,False,neutral,2,short,эффективное похудение,142
ad_0143,"Выиграй до 10,000€ с бонусом 100%! Начни с 10€ депозита",gambling,GB,155941,6803,28,0.04363,0.00416,True,False,False,greed,4,short,"100% бонус с возможностью выиграть до 10,000€",143
ad_0144,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,ID,24922,645,0,0.0259,0.00129,True,False,False,greed,1,short,снижение веса до 8кг за месяц,144
ad_0145,Врачи в шоке: этот метод убирает 10кг без диет. Успей со скидкой 70%!,nutra,BR,36733,1802,4,0.04907,0.00254,True,True,True,excitement,4,short,похудение на 10кг без диет,145
ad_0146,Эффективное средство для похудения. Скидка 70% на первый заказ,nutra,US,117296,5169,17,0.04407,0.00341,True,False,False,greed,3,short,похудение со скидкой,146
ad_0147,Врачи в шоке: этот метод убирает 15кг без диет. Успей со скидкой 50%!,nutra,TR,8316,411,0,0.04945,0.00241,True,True,True,excitement,4,short,похудение на 15кг без диет,147
ad_0148,LIVE ставки на La Liga! Бонус 500€€ + кэшбэк 20%. Начни сейчас 🔥,betting,PH,125517,5255,24,0.04187,0.00459,True,True,False,excitement,4,short,Бонус 500€€ + кэшбэк 20%,148
ad_0149,Натуральный продукт для снижения веса. До минус 8кг за месяц,nutra,GB,197360,11227,46,0.05689,0.00412,True,False,False,greed,2,short,снижение веса до 8кг за месяц,149
